x_label;y_label;hl_x;hl_y;cl_x;cl_y;tube_id
20;35;0;0;;;TUBE.1
18;35;28,58;0;;;TUBE.2
16;35;57,16;0;;;TUBE.3
14;35;85,7399999999999;0;;;TUBE.4
12;35;114,32;0;;;TUBE.5
10;35;142,9;0;;;TUBE.6
8;35;171,48;0;;;TUBE.7
6;35;200,06;0;;;TUBE.8
4;35;228,64;0;;;TUBE.9
2;35;257,22;0;;;TUBE.10
19;34;14,29;8,25;;;TUBE.11
17;34;42,87;8,25;;;TUBE.12
15;34;71,4499999999999;8,25;;;TUBE.13
13;34;100,03;8,25;;;TUBE.14
11;34;128,61;8,25;;;TUBE.15
9;34;157,19;8,25;;;TUBE.16
7;34;185,77;8,25;;;TUBE.17
5;34;214,35;8,25;;;TUBE.18
3;34;242,93;8,25;;;TUBE.19
1;34;271,510000000001;8,25;;;TUBE.20
20;33;0;16,5;;;TUBE.21
18;33;28,58;16,5;;;TUBE.22
16;33;57,16;16,5;;;TUBE.23
14;33;85,7399999999999;16,5;;;TUBE.24
12;33;114,32;16,5;;;TUBE.25
10;33;142,9;16,5;;;TUBE.26
8;33;171,48;16,5;;;TUBE.27
6;33;200,06;16,5;;;TUBE.28
4;33;228,64;16,5;;;TUBE.29
2;33;257,22;16,5;;;TUBE.30
19;32;14,29;24,75;;;TUBE.31
17;32;42,87;24,75;;;TUBE.32
15;32;71,4499999999999;24,75;;;TUBE.33
13;32;100,03;24,75;;;TUBE.34
11;32;128,61;24,75;;;TUBE.35
9;32;157,19;24,75;;;TUBE.36
7;32;185,77;24,75;;;TUBE.37
5;32;214,35;24,75;;;TUBE.38
3;32;242,93;24,75;;;TUBE.39
1;32;271,510000000001;24,75;;;TUBE.40
20;31;0;33,0000000000001;;;TUBE.41
18;31;28,58;33,0000000000001;;;TUBE.42
16;31;57,16;33,0000000000001;;;TUBE.43
14;31;85,7399999999999;33,0000000000001;;;TUBE.44
12;31;114,32;33,0000000000001;;;TUBE.45
10;31;142,9;33,0000000000001;;;TUBE.46
8;31;171,48;33,0000000000001;;;TUBE.47
6;31;200,06;33,0000000000001;;;TUBE.48
4;31;228,64;33,0000000000001;;;TUBE.49
2;31;257,22;33,0000000000001;;;TUBE.50
19;30;14,29;41,2500000000001;;;TUBE.51
17;30;42,87;41,2500000000001;;;TUBE.52
15;30;71,4499999999999;41,2500000000001;;;TUBE.53
13;30;100,03;41,2500000000001;;;TUBE.54
11;30;128,61;41,2500000000001;;;TUBE.55
9;30;157,19;41,2500000000001;;;TUBE.56
7;30;185,77;41,2500000000001;;;TUBE.57
5;30;214,35;41,2500000000001;;;TUBE.58
3;30;242,93;41,2500000000001;;;TUBE.59
1;30;271,510000000001;41,2500000000001;;;TUBE.60
20;29;0;49,5000000000001;;;TUBE.61
18;29;28,58;49,5000000000001;;;TUBE.62
16;29;57,16;49,5000000000001;;;TUBE.63
14;29;85,7399999999999;49,5000000000001;;;TUBE.64
12;29;114,32;49,5000000000001;;;TUBE.65
10;29;142,9;49,5000000000001;;;TUBE.66
8;29;171,48;49,5000000000001;;;TUBE.67
6;29;200,06;49,5000000000001;;;TUBE.68
4;29;228,64;49,5000000000001;;;TUBE.69
2;29;257,22;49,5000000000001;;;TUBE.70
19;28;14,29;57,7499999999999;;;TUBE.71
17;28;42,87;57,7499999999999;;;TUBE.72
15;28;71,4499999999999;57,7499999999999;;;TUBE.73
13;28;100,03;57,7499999999999;;;TUBE.74
11;28;128,61;57,7499999999999;;;TUBE.75
9;28;157,19;57,7499999999999;;;TUBE.76
7;28;185,77;57,7499999999999;;;TUBE.77
5;28;214,35;57,7499999999999;;;TUBE.78
3;28;242,93;57,7499999999999;;;TUBE.79
1;28;271,510000000001;57,7499999999999;;;TUBE.80
20;27;0;65,9999999999999;;;TUBE.81
18;27;28,58;65,9999999999999;;;TUBE.82
16;27;57,16;65,9999999999999;;;TUBE.83
14;27;85,7399999999999;65,9999999999999;;;TUBE.84
12;27;114,32;65,9999999999999;;;TUBE.85
10;27;142,9;65,9999999999999;;;TUBE.86
8;27;171,48;65,9999999999999;;;TUBE.87
6;27;200,06;65,9999999999999;;;TUBE.88
4;27;228,64;65,9999999999999;;;TUBE.89
2;27;257,22;65,9999999999999;;;TUBE.90
19;26;14,29;74,2499999999999;;;TUBE.91
17;26;42,87;74,2499999999999;;;TUBE.92
15;26;71,4499999999999;74,2499999999999;;;TUBE.93
13;26;100,03;74,2499999999999;;;TUBE.94
11;26;128,61;74,2499999999999;;;TUBE.95
9;26;157,19;74,2499999999999;;;TUBE.96
7;26;185,77;74,2499999999999;;;TUBE.97
5;26;214,35;74,2499999999999;;;TUBE.98
3;26;242,93;74,2499999999999;;;TUBE.99
1;26;271,510000000001;74,2499999999999;;;TUBE.100
20;25;0;82,5;;;TUBE.101
18;25;28,58;82,5;;;TUBE.102
16;25;57,16;82,5;;;TUBE.103
14;25;85,7399999999999;82,5;;;TUBE.104
12;25;114,32;82,5;;;TUBE.105
10;25;142,9;82,5;;;TUBE.106
8;25;171,48;82,5;;;TUBE.107
6;25;200,06;82,5;;;TUBE.108
4;25;228,64;82,5;;;TUBE.109
2;25;257,22;82,5;;;TUBE.110
19;24;14,29;90,75;;;TUBE.111
17;24;42,87;90,75;;;TUBE.112
15;24;71,4499999999999;90,75;;;TUBE.113
13;24;100,03;90,75;;;TUBE.114
11;24;128,61;90,75;;;TUBE.115
9;24;157,19;90,75;;;TUBE.116
7;24;185,77;90,75;;;TUBE.117
5;24;214,35;90,75;;;TUBE.118
3;24;242,93;90,75;;;TUBE.119
20;23;0;99;;;TUBE.120
18;23;28,58;99;;;TUBE.121
16;23;57,16;99;;;TUBE.122
14;23;85,7399999999999;99;;;TUBE.123
12;23;114,32;99;;;TUBE.124
10;23;142,9;99;;;TUBE.125
8;23;171,48;99;;;TUBE.126
6;23;200,06;99;;;TUBE.127
4;23;228,64;99;;;TUBE.128
2;23;257,22;99;;;TUBE.129
19;22;14,29;107,25;;;TUBE.130
17;22;42,87;107,25;;;TUBE.131
15;22;71,4499999999999;107,25;;;TUBE.132
13;22;100,03;107,25;;;TUBE.133
11;22;128,61;107,25;;;TUBE.134
9;22;157,19;107,25;;;TUBE.135
7;22;185,77;107,25;;;TUBE.136
5;22;214,35;107,25;;;TUBE.137
3;22;242,93;107,25;;;TUBE.138
20;21;0;115,5;;;TUBE.139
18;21;28,58;115,5;;;TUBE.140
16;21;57,16;115,5;;;TUBE.141
14;21;85,7399999999999;115,5;;;TUBE.142
12;21;114,32;115,5;;;TUBE.143
10;21;142,9;115,5;;;TUBE.144
8;21;171,48;115,5;;;TUBE.145
6;21;200,06;115,5;;;TUBE.146
4;21;228,64;115,5;;;TUBE.147
19;20;14,29;123,75;;;TUBE.148
17;20;42,87;123,75;;;TUBE.149
15;20;71,4499999999999;123,75;;;TUBE.150
13;20;100,03;123,75;;;TUBE.151
11;20;128,61;123,75;;;TUBE.152
9;20;157,19;123,75;;;TUBE.153
7;20;185,77;123,75;;;TUBE.154
5;20;214,35;123,75;;;TUBE.155
3;20;242,93;123,75;;;TUBE.156
20;19;0;132;;;TUBE.157
18;19;28,58;132;;;TUBE.158
16;19;57,16;132;;;TUBE.159
14;19;85,7399999999999;132;;;TUBE.160
12;19;114,32;132;;;TUBE.161
10;19;142,9;132;;;TUBE.162
8;19;171,48;132;;;TUBE.163
6;19;200,06;132;;;TUBE.164
4;19;228,64;132;;;TUBE.165
19;18;14,29;140,25;;;TUBE.166
17;18;42,87;140,25;;;TUBE.167
15;18;71,4499999999999;140,25;;;TUBE.168
13;18;100,03;140,25;;;TUBE.169
11;18;128,61;140,25;;;TUBE.170
9;18;157,19;140,25;;;TUBE.171
7;18;185,77;140,25;;;TUBE.172
5;18;214,35;140,25;;;TUBE.173
3;18;242,93;140,25;;;TUBE.174
20;17;0;148,5;;;TUBE.175
18;17;28,58;148,5;;;TUBE.176
16;17;57,16;148,5;;;TUBE.177
14;17;85,7399999999999;148,5;;;TUBE.178
12;17;114,32;148,5;;;TUBE.179
10;17;142,9;148,5;;;TUBE.180
8;17;171,48;148,5;;;TUBE.181
6;17;200,06;148,5;;;TUBE.182
4;17;228,64;148,5;;;TUBE.183
19;16;14,29;156,75;;;TUBE.184
17;16;42,87;156,75;;;TUBE.185
15;16;71,4499999999999;156,75;;;TUBE.186
13;16;100,03;156,75;;;TUBE.187
11;16;128,61;156,75;;;TUBE.188
9;16;157,19;156,75;;;TUBE.189
