SEQ;ROW;COL;TUBE
1;36;19;TUBE.801
2;36;17;TUBE.802
3;36;15;TUBE.803
4;36;13;TUBE.804
5;36;11;TUBE.805
6;36;9;TUBE.806
7;36;7;TUBE.807
8;36;5;TUBE.808
9;36;3;TUBE.809
10;36;1;TUBE.810
11;37;18;TUBE.811
12;37;16;TUBE.812
13;37;14;TUBE.813
14;37;12;TUBE.814
15;37;10;TUBE.815
16;37;8;TUBE.816
17;37;6;TUBE.817
18;37;4;TUBE.818
19;37;2;TUBE.819
20;38;19;TUBE.820
21;38;17;TUBE.821
22;38;15;TUBE.822
23;38;13;TUBE.823
24;38;11;TUBE.824
25;38;9;TUBE.825
26;38;7;TUBE.826
27;38;5;TUBE.827
28;38;3;TUBE.828
29;38;1;TUBE.829
30;39;18;TUBE.830
31;39;16;TUBE.831
32;39;14;TUBE.832
33;39;12;TUBE.833
34;39;10;TUBE.834
35;39;8;TUBE.835
36;39;6;TUBE.836
37;39;4;TUBE.837
38;39;2;TUBE.838
39;40;19;TUBE.839
40;40;17;TUBE.840
41;40;15;TUBE.841
42;40;13;TUBE.842
43;40;11;TUBE.843
44;40;9;TUBE.844
45;40;7;TUBE.845
46;40;5;TUBE.846
47;40;3;TUBE.847
48;40;1;TUBE.848
49;41;18;TUBE.849
50;41;16;TUBE.850
51;41;14;TUBE.851
52;41;12;TUBE.852
53;41;10;TUBE.853
54;41;8;TUBE.854
55;41;6;TUBE.855
56;41;4;TUBE.856
57;41;2;TUBE.857
58;42;19;TUBE.858
59;42;17;TUBE.859
60;42;15;TUBE.860
61;42;13;TUBE.861
62;42;11;TUBE.862
63;42;9;TUBE.863
64;42;7;TUBE.864
65;42;5;TUBE.865
66;42;3;TUBE.866
67;42;1;TUBE.867
68;43;18;TUBE.868
69;43;16;TUBE.869
70;43;14;TUBE.870
71;43;12;TUBE.871
72;43;10;TUBE.872
73;43;8;TUBE.873
74;43;6;TUBE.874
75;43;4;TUBE.875
76;43;2;TUBE.876
77;44;19;TUBE.877
78;44;17;TUBE.878
79;44;15;TUBE.879
80;44;13;TUBE.880
81;44;11;TUBE.881
82;44;9;TUBE.882
83;44;7;TUBE.883
84;44;5;TUBE.884
85;44;3;TUBE.885
86;44;1;TUBE.886
87;45;18;TUBE.887
88;45;16;TUBE.888
89;45;14;TUBE.889
90;45;12;TUBE.890
91;45;10;TUBE.891
92;45;8;TUBE.892
93;45;6;TUBE.893
94;45;4;TUBE.894
95;45;2;TUBE.895
96;46;19;TUBE.896
97;46;17;TUBE.897
98;46;15;TUBE.898
99;46;13;TUBE.899
100;46;11;TUBE.900
101;46;9;TUBE.901
102;46;7;TUBE.902
103;46;5;TUBE.903
104;46;3;TUBE.904
105;47;18;TUBE.905
106;47;16;TUBE.906
107;47;14;TUBE.907
108;47;12;TUBE.908
109;47;10;TUBE.909
110;47;8;TUBE.910
111;47;6;TUBE.911
112;47;4;TUBE.912
113;47;2;TUBE.913
114;48;19;TUBE.914
115;48;17;TUBE.915
116;48;15;TUBE.916
117;48;13;TUBE.917
118;48;11;TUBE.918
119;48;9;TUBE.919
120;48;7;TUBE.920
121;48;5;TUBE.921
122;48;3;TUBE.922
123;49;18;TUBE.923
124;49;16;TUBE.924
125;49;14;TUBE.925
126;49;12;TUBE.926
127;49;10;TUBE.927
128;49;8;TUBE.928
129;49;6;TUBE.929
130;49;4;TUBE.930
131;50;19;TUBE.931
132;50;17;TUBE.932
133;50;15;TUBE.933
134;50;13;TUBE.934
135;50;11;TUBE.935
136;50;9;TUBE.936
137;50;7;TUBE.937
138;50;5;TUBE.938
139;50;3;TUBE.939
140;51;18;TUBE.940
141;51;16;TUBE.941
142;51;14;TUBE.942
143;51;12;TUBE.943
144;51;10;TUBE.944
145;51;8;TUBE.945
146;51;6;TUBE.946
147;51;4;TUBE.947
148;52;19;TUBE.948
149;52;17;TUBE.949
150;52;15;TUBE.950
151;52;13;TUBE.951
152;52;11;TUBE.952
153;52;9;TUBE.953
154;52;7;TUBE.954
155;52;5;TUBE.955
156;52;3;TUBE.956
157;53;18;TUBE.957
158;53;16;TUBE.958
159;53;14;TUBE.959
160;53;12;TUBE.960
161;53;10;TUBE.961
162;53;8;TUBE.962
163;53;6;TUBE.963
164;53;4;TUBE.964
165;54;19;TUBE.965
166;54;17;TUBE.966
167;54;15;TUBE.967
168;54;13;TUBE.968
169;54;11;TUBE.969
170;54;9;TUBE.970
171;54;7;TUBE.971
172;54;5;TUBE.972
173;55;18;TUBE.973
174;55;16;TUBE.974
175;55;14;TUBE.975
176;55;12;TUBE.976
177;55;10;TUBE.977
178;55;8;TUBE.978
179;55;6;TUBE.979
180;56;19;TUBE.980
181;56;17;TUBE.981
182;56;15;TUBE.982
183;56;13;TUBE.983
184;56;11;TUBE.984
185;56;9;TUBE.985
186;56;7;TUBE.986
187;56;5;TUBE.987
188;57;18;TUBE.988
189;57;16;TUBE.989
190;57;14;TUBE.990
191;57;12;TUBE.991
192;57;10;TUBE.992
193;57;8;TUBE.993
194;57;6;TUBE.994
195;58;19;TUBE.995
196;58;17;TUBE.996
197;58;15;TUBE.997
198;58;13;TUBE.998
199;58;11;TUBE.999
200;58;9;TUBE.1000
201;58;7;TUBE.1001
202;59;18;TUBE.1002
203;59;16;TUBE.1003
204;59;14;TUBE.1004
205;59;12;TUBE.1005
206;59;10;TUBE.1006
207;59;8;TUBE.1007
208;60;19;TUBE.1008
209;60;17;TUBE.1009
210;60;15;TUBE.1010
211;60;13;TUBE.1011
212;60;11;TUBE.1012
213;60;9;TUBE.1013
214;60;7;TUBE.1014
215;61;18;TUBE.1015
216;61;16;TUBE.1016
217;61;14;TUBE.1017
218;61;12;TUBE.1018
219;61;10;TUBE.1019
220;61;8;TUBE.1020
221;62;19;TUBE.1021
222;62;17;TUBE.1022
223;62;15;TUBE.1023
224;62;13;TUBE.1024
225;62;11;TUBE.1025
226;62;9;TUBE.1026
227;63;18;TUBE.1027
228;63;16;TUBE.1028
229;63;14;TUBE.1029
230;63;12;TUBE.1030
231;63;10;TUBE.1031
232;64;19;TUBE.1032
233;64;17;TUBE.1033
234;64;15;TUBE.1034
235;64;13;TUBE.1035
236;64;11;TUBE.1036
237;65;18;TUBE.1037
238;65;16;TUBE.1038
239;65;14;TUBE.1039
240;65;12;TUBE.1040
241;66;19;TUBE.1041
242;66;17;TUBE.1042
243;66;15;TUBE.1043
244;66;13;TUBE.1044
245;67;18;TUBE.1045
246;67;16;TUBE.1046
247;67;14;TUBE.1047
248;68;19;TUBE.1048
249;68;17;TUBE.1049
