ROW;COL;TUBE
21;34;TUBE.277
23;34;TUBE.278
25;34;TUBE.279
27;34;TUBE.280
29;34;TUBE.281
31;34;TUBE.282
33;34;TUBE.283
35;34;TUBE.284
37;34;TUBE.285
39;34;TUBE.286
20;33;TUBE.287
22;33;TUBE.288
24;33;TUBE.289
26;33;TUBE.290
28;33;TUBE.291
30;33;TUBE.292
32;33;TUBE.293
34;33;TUBE.294
36;33;TUBE.295
38;33;TUBE.296
21;32;TUBE.297
23;32;TUBE.298
25;32;TUBE.299
27;32;TUBE.300
29;32;TUBE.301
31;32;TUBE.302
33;32;TUBE.303
35;32;TUBE.304
37;32;TUBE.305
39;32;TUBE.306
20;31;TUBE.307
22;31;TUBE.308
24;31;TUBE.309
26;31;TUBE.310
28;31;TUBE.311
30;31;TUBE.312
32;31;TUBE.313
34;31;TUBE.314
36;31;TUBE.315
38;31;TUBE.316
21;30;TUBE.317
23;30;TUBE.318
25;30;TUBE.319
27;30;TUBE.320
29;30;TUBE.321
31;30;TUBE.322
33;30;TUBE.323
35;30;TUBE.324
37;30;TUBE.325
39;30;TUBE.326
20;29;TUBE.327
22;29;TUBE.328
24;29;TUBE.329
26;29;TUBE.330
28;29;TUBE.331
30;29;TUBE.332
32;29;TUBE.333
34;29;TUBE.334
36;29;TUBE.335
38;29;TUBE.336
21;28;TUBE.337
23;28;TUBE.338
25;28;TUBE.339
27;28;TUBE.340
29;28;TUBE.341
31;28;TUBE.342
33;28;TUBE.343
35;28;TUBE.344
37;28;TUBE.345
39;28;TUBE.346
20;27;TUBE.347
22;27;TUBE.348
24;27;TUBE.349
26;27;TUBE.350
28;27;TUBE.351
30;27;TUBE.352
32;27;TUBE.353
34;27;TUBE.354
36;27;TUBE.355
38;27;TUBE.356
21;26;TUBE.357
23;26;TUBE.358
25;26;TUBE.359
27;26;TUBE.360
29;26;TUBE.361
31;26;TUBE.362
33;26;TUBE.363
35;26;TUBE.364
37;26;TUBE.365
39;26;TUBE.366
20;25;TUBE.367
22;25;TUBE.368
24;25;TUBE.369
26;25;TUBE.370
28;25;TUBE.371
30;25;TUBE.372
32;25;TUBE.373
34;25;TUBE.374
36;25;TUBE.375
38;25;TUBE.376
21;24;TUBE.377
23;24;TUBE.378
25;24;TUBE.379
27;24;TUBE.380
29;24;TUBE.381
31;24;TUBE.382
33;24;TUBE.383
35;24;TUBE.384
37;24;TUBE.385
20;23;TUBE.386
22;23;TUBE.387
24;23;TUBE.388
26;23;TUBE.389
28;23;TUBE.390
30;23;TUBE.391
32;23;TUBE.392
34;23;TUBE.393
36;23;TUBE.394
38;23;TUBE.395
21;22;TUBE.396
23;22;TUBE.397
25;22;TUBE.398
27;22;TUBE.399
29;22;TUBE.400
31;22;TUBE.401
33;22;TUBE.402
35;22;TUBE.403
37;22;TUBE.404
20;21;TUBE.405
22;21;TUBE.406
24;21;TUBE.407
26;21;TUBE.408
28;21;TUBE.409
30;21;TUBE.410
32;21;TUBE.411
34;21;TUBE.412
36;21;TUBE.413
21;20;TUBE.414
23;20;TUBE.415
25;20;TUBE.416
27;20;TUBE.417
29;20;TUBE.418
31;20;TUBE.419
33;20;TUBE.420
35;20;TUBE.421
37;20;TUBE.422
20;19;TUBE.423
22;19;TUBE.424
24;19;TUBE.425
26;19;TUBE.426
28;19;TUBE.427
30;19;TUBE.428
32;19;TUBE.429
34;19;TUBE.430
36;19;TUBE.431
21;18;TUBE.432
23;18;TUBE.433
25;18;TUBE.434
27;18;TUBE.435
29;18;TUBE.436
31;18;TUBE.437
33;18;TUBE.438
35;18;TUBE.439
37;18;TUBE.440
20;17;TUBE.441
22;17;TUBE.442
24;17;TUBE.443
26;17;TUBE.444
28;17;TUBE.445
30;17;TUBE.446
32;17;TUBE.447
34;17;TUBE.448
36;17;TUBE.449
21;16;TUBE.450
23;16;TUBE.451
25;16;TUBE.452
27;16;TUBE.453
29;16;TUBE.454
31;16;TUBE.455
33;16;TUBE.456
35;16;TUBE.457
20;15;TUBE.458
22;15;TUBE.459
24;15;TUBE.460
26;15;TUBE.461
28;15;TUBE.462
30;15;TUBE.463
32;15;TUBE.464
34;15;TUBE.465
21;14;TUBE.466
23;14;TUBE.467
25;14;TUBE.468
27;14;TUBE.469
29;14;TUBE.470
31;14;TUBE.471
33;14;TUBE.472
35;14;TUBE.473
20;13;TUBE.474
22;13;TUBE.475
24;13;TUBE.476
26;13;TUBE.477
28;13;TUBE.478
30;13;TUBE.479
32;13;TUBE.480
34;13;TUBE.481
21;12;TUBE.482
23;12;TUBE.483
25;12;TUBE.484
27;12;TUBE.485
29;12;TUBE.486
31;12;TUBE.487
33;12;TUBE.488
20;11;TUBE.489
22;11;TUBE.490
24;11;TUBE.491
26;11;TUBE.492
28;11;TUBE.493
30;11;TUBE.494
32;11;TUBE.495
21;10;TUBE.496
23;10;TUBE.497
25;10;TUBE.498
27;10;TUBE.499
29;10;TUBE.500
31;10;TUBE.501
33;10;TUBE.502
20;9;TUBE.503
22;9;TUBE.504
24;9;TUBE.505
26;9;TUBE.506
28;9;TUBE.507
30;9;TUBE.508
32;9;TUBE.509
21;8;TUBE.510
23;8;TUBE.511
25;8;TUBE.512
27;8;TUBE.513
29;8;TUBE.514
31;8;TUBE.515
20;7;TUBE.516
22;7;TUBE.517
24;7;TUBE.518
26;7;TUBE.519
28;7;TUBE.520
30;7;TUBE.521
21;6;TUBE.522
23;6;TUBE.523
25;6;TUBE.524
27;6;TUBE.525
29;6;TUBE.526
20;5;TUBE.527
22;5;TUBE.528
24;5;TUBE.529
26;5;TUBE.530
28;5;TUBE.531
21;4;TUBE.532
23;4;TUBE.533
25;4;TUBE.534
27;4;TUBE.535
20;3;TUBE.536
22;3;TUBE.537
24;3;TUBE.538
26;3;TUBE.539
21;2;TUBE.540
23;2;TUBE.541
20;1;TUBE.542
