SEQ;ROW;COL;TUBE
1;35;20;TUBE.1
2;35;22;TUBE.2
3;35;24;TUBE.3
4;35;26;TUBE.4
5;35;28;TUBE.5
6;35;30;TUBE.6
7;35;32;TUBE.7
8;35;34;TUBE.8
9;35;36;TUBE.9
10;35;38;TUBE.10
11;36;21;TUBE.11
12;36;23;TUBE.12
13;36;25;TUBE.13
14;36;27;TUBE.14
15;36;29;TUBE.15
16;36;31;TUBE.16
17;36;33;TUBE.17
18;36;35;TUBE.18
19;36;37;TUBE.19
20;36;39;TUBE.20
21;37;20;TUBE.21
22;37;22;TUBE.22
23;37;24;TUBE.23
24;37;26;TUBE.24
25;37;28;TUBE.25
26;37;30;TUBE.26
27;37;32;TUBE.27
28;37;34;TUBE.28
29;37;36;TUBE.29
30;37;38;TUBE.30
31;38;21;TUBE.31
32;38;23;TUBE.32
33;38;25;TUBE.33
34;38;27;TUBE.34
35;38;29;TUBE.35
36;38;31;TUBE.36
37;38;33;TUBE.37
38;38;35;TUBE.38
39;38;37;TUBE.39
40;38;39;TUBE.40
41;39;20;TUBE.41
42;39;22;TUBE.42
43;39;24;TUBE.43
44;39;26;TUBE.44
45;39;28;TUBE.45
46;39;30;TUBE.46
47;39;32;TUBE.47
48;39;34;TUBE.48
49;39;36;TUBE.49
50;39;38;TUBE.50
51;40;21;TUBE.51
52;40;23;TUBE.52
53;40;25;TUBE.53
54;40;27;TUBE.54
55;40;29;TUBE.55
56;40;31;TUBE.56
57;40;33;TUBE.57
58;40;35;TUBE.58
59;40;37;TUBE.59
60;40;39;TUBE.60
61;41;20;TUBE.61
62;41;22;TUBE.62
63;41;24;TUBE.63
64;41;26;TUBE.64
65;41;28;TUBE.65
66;41;30;TUBE.66
67;41;32;TUBE.67
68;41;34;TUBE.68
69;41;36;TUBE.69
70;41;38;TUBE.70
71;42;21;TUBE.71
72;42;23;TUBE.72
73;42;25;TUBE.73
74;42;27;TUBE.74
75;42;29;TUBE.75
76;42;31;TUBE.76
77;42;33;TUBE.77
78;42;35;TUBE.78
79;42;37;TUBE.79
80;42;39;TUBE.80
81;43;20;TUBE.81
82;43;22;TUBE.82
83;43;24;TUBE.83
84;43;26;TUBE.84
85;43;28;TUBE.85
86;43;30;TUBE.86
87;43;32;TUBE.87
88;43;34;TUBE.88
89;43;36;TUBE.89
90;43;38;TUBE.90
91;44;21;TUBE.91
92;44;23;TUBE.92
93;44;25;TUBE.93
94;44;27;TUBE.94
95;44;29;TUBE.95
96;44;31;TUBE.96
97;44;33;TUBE.97
98;44;35;TUBE.98
99;44;37;TUBE.99
100;44;39;TUBE.100
101;45;20;TUBE.101
102;45;22;TUBE.102
103;45;24;TUBE.103
104;45;26;TUBE.104
105;45;28;TUBE.105
106;45;30;TUBE.106
107;45;32;TUBE.107
108;45;34;TUBE.108
109;45;36;TUBE.109
110;45;38;TUBE.110
111;46;21;TUBE.111
112;46;23;TUBE.112
113;46;25;TUBE.113
114;46;27;TUBE.114
115;46;29;TUBE.115
116;46;31;TUBE.116
117;46;33;TUBE.117
118;46;35;TUBE.118
119;46;37;TUBE.119
120;47;20;TUBE.120
121;47;22;TUBE.121
122;47;24;TUBE.122
123;47;26;TUBE.123
124;47;28;TUBE.124
125;47;30;TUBE.125
126;47;32;TUBE.126
127;47;34;TUBE.127
128;47;36;TUBE.128
129;47;38;TUBE.129
130;48;21;TUBE.130
131;48;23;TUBE.131
132;48;25;TUBE.132
133;48;27;TUBE.133
134;48;29;TUBE.134
135;48;31;TUBE.135
136;48;33;TUBE.136
137;48;35;TUBE.137
138;48;37;TUBE.138
139;49;20;TUBE.139
140;49;22;TUBE.140
141;49;24;TUBE.141
142;49;26;TUBE.142
143;49;28;TUBE.143
144;49;30;TUBE.144
145;49;32;TUBE.145
146;49;34;TUBE.146
147;49;36;TUBE.147
148;50;21;TUBE.148
149;50;23;TUBE.149
150;50;25;TUBE.150
151;50;27;TUBE.151
152;50;29;TUBE.152
153;50;31;TUBE.153
154;50;33;TUBE.154
155;50;35;TUBE.155
156;50;37;TUBE.156
157;51;20;TUBE.157
158;51;22;TUBE.158
159;51;24;TUBE.159
160;51;26;TUBE.160
161;51;28;TUBE.161
162;51;30;TUBE.162
163;51;32;TUBE.163
164;51;34;TUBE.164
165;51;36;TUBE.165
166;52;21;TUBE.166
167;52;23;TUBE.167
168;52;25;TUBE.168
169;52;27;TUBE.169
170;52;29;TUBE.170
171;52;31;TUBE.171
172;52;33;TUBE.172
173;52;35;TUBE.173
174;52;37;TUBE.174
175;53;20;TUBE.175
176;53;22;TUBE.176
177;53;24;TUBE.177
178;53;26;TUBE.178
179;53;28;TUBE.179
180;53;30;TUBE.180
181;53;32;TUBE.181
182;53;34;TUBE.182
183;53;36;TUBE.183
184;54;21;TUBE.184
185;54;23;TUBE.185
186;54;25;TUBE.186
187;54;27;TUBE.187
188;54;29;TUBE.188
189;54;31;TUBE.189
190;54;33;TUBE.190
191;54;35;TUBE.191
192;55;20;TUBE.192
193;55;22;TUBE.193
194;55;24;TUBE.194
195;55;26;TUBE.195
196;55;28;TUBE.196
197;55;30;TUBE.197
198;55;32;TUBE.198
199;55;34;TUBE.199
200;56;21;TUBE.200
201;56;23;TUBE.201
202;56;25;TUBE.202
203;56;27;TUBE.203
204;56;29;TUBE.204
205;56;31;TUBE.205
206;56;33;TUBE.206
207;56;35;TUBE.207
208;57;20;TUBE.208
209;57;22;TUBE.209
210;57;24;TUBE.210
211;57;26;TUBE.211
212;57;28;TUBE.212
213;57;30;TUBE.213
214;57;32;TUBE.214
215;57;34;TUBE.215
216;58;21;TUBE.216
217;58;23;TUBE.217
218;58;25;TUBE.218
219;58;27;TUBE.219
220;58;29;TUBE.220
221;58;31;TUBE.221
222;58;33;TUBE.222
223;59;20;TUBE.223
224;59;22;TUBE.224
225;59;24;TUBE.225
226;59;26;TUBE.226
227;59;28;TUBE.227
228;59;30;TUBE.228
