SEQ;ROW;COL;TUBE
1;21;34;TUBE.277
2;23;34;TUBE.278
3;25;34;TUBE.279
4;27;34;TUBE.280
5;29;34;TUBE.281
6;31;34;TUBE.282
7;33;34;TUBE.283
8;35;34;TUBE.284
9;37;34;TUBE.285
10;39;34;TUBE.286
11;20;33;TUBE.287
12;22;33;TUBE.288
13;24;33;TUBE.289
14;26;33;TUBE.290
15;28;33;TUBE.291
16;30;33;TUBE.292
17;32;33;TUBE.293
18;34;33;TUBE.294
19;36;33;TUBE.295
20;38;33;TUBE.296
21;21;32;TUBE.297
22;23;32;TUBE.298
23;25;32;TUBE.299
24;27;32;TUBE.300
25;29;32;TUBE.301
26;31;32;TUBE.302
27;33;32;TUBE.303
28;35;32;TUBE.304
29;37;32;TUBE.305
30;39;32;TUBE.306
31;20;31;TUBE.307
32;22;31;TUBE.308
33;24;31;TUBE.309
34;26;31;TUBE.310
35;28;31;TUBE.311
36;30;31;TUBE.312
37;32;31;TUBE.313
38;34;31;TUBE.314
39;36;31;TUBE.315
40;38;31;TUBE.316
41;21;30;TUBE.317
42;23;30;TUBE.318
43;25;30;TUBE.319
44;27;30;TUBE.320
45;29;30;TUBE.321
46;31;30;TUBE.322
47;33;30;TUBE.323
48;35;30;TUBE.324
49;37;30;TUBE.325
50;39;30;TUBE.326
51;20;29;TUBE.327
52;22;29;TUBE.328
53;24;29;TUBE.329
54;26;29;TUBE.330
55;28;29;TUBE.331
56;30;29;TUBE.332
57;32;29;TUBE.333
58;34;29;TUBE.334
59;36;29;TUBE.335
60;38;29;TUBE.336
61;21;28;TUBE.337
62;23;28;TUBE.338
63;25;28;TUBE.339
64;27;28;TUBE.340
65;29;28;TUBE.341
66;31;28;TUBE.342
67;33;28;TUBE.343
68;35;28;TUBE.344
69;37;28;TUBE.345
70;39;28;TUBE.346
71;20;27;TUBE.347
72;22;27;TUBE.348
73;24;27;TUBE.349
74;26;27;TUBE.350
75;28;27;TUBE.351
76;30;27;TUBE.352
77;32;27;TUBE.353
78;34;27;TUBE.354
79;36;27;TUBE.355
80;38;27;TUBE.356
81;21;26;TUBE.357
82;23;26;TUBE.358
83;25;26;TUBE.359
84;27;26;TUBE.360
85;29;26;TUBE.361
86;31;26;TUBE.362
87;33;26;TUBE.363
88;35;26;TUBE.364
89;37;26;TUBE.365
90;39;26;TUBE.366
91;20;25;TUBE.367
92;22;25;TUBE.368
93;24;25;TUBE.369
94;26;25;TUBE.370
95;28;25;TUBE.371
96;30;25;TUBE.372
97;32;25;TUBE.373
98;34;25;TUBE.374
99;36;25;TUBE.375
100;38;25;TUBE.376
101;21;24;TUBE.377
102;23;24;TUBE.378
103;25;24;TUBE.379
104;27;24;TUBE.380
105;29;24;TUBE.381
106;31;24;TUBE.382
107;33;24;TUBE.383
108;35;24;TUBE.384
109;37;24;TUBE.385
110;20;23;TUBE.386
111;22;23;TUBE.387
112;24;23;TUBE.388
113;26;23;TUBE.389
114;28;23;TUBE.390
115;30;23;TUBE.391
116;32;23;TUBE.392
117;34;23;TUBE.393
118;36;23;TUBE.394
119;38;23;TUBE.395
120;21;22;TUBE.396
121;23;22;TUBE.397
122;25;22;TUBE.398
123;27;22;TUBE.399
124;29;22;TUBE.400
125;31;22;TUBE.401
126;33;22;TUBE.402
127;35;22;TUBE.403
128;37;22;TUBE.404
129;20;21;TUBE.405
130;22;21;TUBE.406
131;24;21;TUBE.407
132;26;21;TUBE.408
133;28;21;TUBE.409
134;30;21;TUBE.410
135;32;21;TUBE.411
136;34;21;TUBE.412
137;36;21;TUBE.413
138;21;20;TUBE.414
139;23;20;TUBE.415
140;25;20;TUBE.416
141;27;20;TUBE.417
142;29;20;TUBE.418
143;31;20;TUBE.419
144;33;20;TUBE.420
145;35;20;TUBE.421
146;37;20;TUBE.422
147;20;19;TUBE.423
148;22;19;TUBE.424
149;24;19;TUBE.425
150;26;19;TUBE.426
151;28;19;TUBE.427
152;30;19;TUBE.428
153;32;19;TUBE.429
154;34;19;TUBE.430
155;36;19;TUBE.431
156;21;18;TUBE.432
157;23;18;TUBE.433
158;25;18;TUBE.434
159;27;18;TUBE.435
160;29;18;TUBE.436
161;31;18;TUBE.437
162;33;18;TUBE.438
163;35;18;TUBE.439
164;37;18;TUBE.440
165;20;17;TUBE.441
166;22;17;TUBE.442
167;24;17;TUBE.443
168;26;17;TUBE.444
169;28;17;TUBE.445
170;30;17;TUBE.446
171;32;17;TUBE.447
172;34;17;TUBE.448
173;36;17;TUBE.449
174;21;16;TUBE.450
175;23;16;TUBE.451
176;25;16;TUBE.452
177;27;16;TUBE.453
178;29;16;TUBE.454
179;31;16;TUBE.455
180;33;16;TUBE.456
181;35;16;TUBE.457
182;20;15;TUBE.458
183;22;15;TUBE.459
184;24;15;TUBE.460
185;26;15;TUBE.461
186;28;15;TUBE.462
187;30;15;TUBE.463
188;32;15;TUBE.464
189;34;15;TUBE.465
190;21;14;TUBE.466
191;23;14;TUBE.467
192;25;14;TUBE.468
193;27;14;TUBE.469
194;29;14;TUBE.470
195;31;14;TUBE.471
196;33;14;TUBE.472
197;35;14;TUBE.473
198;20;13;TUBE.474
199;22;13;TUBE.475
200;24;13;TUBE.476
201;26;13;TUBE.477
202;28;13;TUBE.478
203;30;13;TUBE.479
204;32;13;TUBE.480
205;34;13;TUBE.481
206;21;12;TUBE.482
207;23;12;TUBE.483
208;25;12;TUBE.484
209;27;12;TUBE.485
210;29;12;TUBE.486
211;31;12;TUBE.487
212;33;12;TUBE.488
213;20;11;TUBE.489
214;22;11;TUBE.490
215;24;11;TUBE.491
216;26;11;TUBE.492
217;28;11;TUBE.493
218;30;11;TUBE.494
