SEQ;ROW;COL;TUBE
1;34;19;TUBE.543
2;34;17;TUBE.544
3;34;15;TUBE.545
4;34;13;TUBE.546
5;34;11;TUBE.547
6;34;9;TUBE.548
7;34;7;TUBE.549
8;34;5;TUBE.550
9;34;3;TUBE.551
10;34;1;TUBE.552
11;33;18;TUBE.553
12;33;16;TUBE.554
13;33;14;TUBE.555
14;33;12;TUBE.556
15;33;10;TUBE.557
16;33;8;TUBE.558
17;33;6;TUBE.559
18;33;4;TUBE.560
19;33;2;TUBE.561
20;32;19;TUBE.562
21;32;17;TUBE.563
22;32;15;TUBE.564
23;32;13;TUBE.565
24;32;11;TUBE.566
25;32;9;TUBE.567
26;32;7;TUBE.568
27;32;5;TUBE.569
28;32;3;TUBE.570
29;32;1;TUBE.571
30;31;18;TUBE.572
31;31;16;TUBE.573
32;31;14;TUBE.574
33;31;12;TUBE.575
34;31;10;TUBE.576
35;31;8;TUBE.577
36;31;6;TUBE.578
37;31;4;TUBE.579
38;31;2;TUBE.580
39;30;19;TUBE.581
40;30;17;TUBE.582
41;30;15;TUBE.583
42;30;13;TUBE.584
43;30;11;TUBE.585
44;30;9;TUBE.586
45;30;7;TUBE.587
46;30;5;TUBE.588
47;30;3;TUBE.589
48;30;1;TUBE.590
49;29;18;TUBE.591
50;29;16;TUBE.592
51;29;14;TUBE.593
52;29;12;TUBE.594
53;29;10;TUBE.595
54;29;8;TUBE.596
55;29;6;TUBE.597
56;29;4;TUBE.598
57;29;2;TUBE.599
58;28;19;TUBE.600
59;28;17;TUBE.601
60;28;15;TUBE.602
61;28;13;TUBE.603
62;28;11;TUBE.604
63;28;9;TUBE.605
64;28;7;TUBE.606
65;28;5;TUBE.607
66;28;3;TUBE.608
67;28;1;TUBE.609
68;27;18;TUBE.610
69;27;16;TUBE.611
70;27;14;TUBE.612
71;27;12;TUBE.613
72;27;10;TUBE.614
73;27;8;TUBE.615
74;27;6;TUBE.616
75;27;4;TUBE.617
76;27;2;TUBE.618
77;26;19;TUBE.619
78;26;17;TUBE.620
79;26;15;TUBE.621
80;26;13;TUBE.622
81;26;11;TUBE.623
82;26;9;TUBE.624
83;26;7;TUBE.625
84;26;5;TUBE.626
85;26;3;TUBE.627
86;26;1;TUBE.628
87;25;18;TUBE.629
88;25;16;TUBE.630
89;25;14;TUBE.631
90;25;12;TUBE.632
91;25;10;TUBE.633
92;25;8;TUBE.634
93;25;6;TUBE.635
94;25;4;TUBE.636
95;25;2;TUBE.637
96;24;19;TUBE.638
97;24;17;TUBE.639
98;24;15;TUBE.640
99;24;13;TUBE.641
100;24;11;TUBE.642
101;24;9;TUBE.643
102;24;7;TUBE.644
103;24;5;TUBE.645
104;24;3;TUBE.646
105;23;18;TUBE.647
106;23;16;TUBE.648
107;23;14;TUBE.649
108;23;12;TUBE.650
109;23;10;TUBE.651
110;23;8;TUBE.652
111;23;6;TUBE.653
112;23;4;TUBE.654
113;23;2;TUBE.655
114;22;19;TUBE.656
115;22;17;TUBE.657
116;22;15;TUBE.658
117;22;13;TUBE.659
118;22;11;TUBE.660
119;22;9;TUBE.661
120;22;7;TUBE.662
121;22;5;TUBE.663
122;22;3;TUBE.664
123;21;18;TUBE.665
124;21;16;TUBE.666
125;21;14;TUBE.667
126;21;12;TUBE.668
127;21;10;TUBE.669
128;21;8;TUBE.670
129;21;6;TUBE.671
130;21;4;TUBE.672
131;20;19;TUBE.673
132;20;17;TUBE.674
133;20;15;TUBE.675
134;20;13;TUBE.676
135;20;11;TUBE.677
136;20;9;TUBE.678
137;20;7;TUBE.679
138;20;5;TUBE.680
139;20;3;TUBE.681
140;19;18;TUBE.682
141;19;16;TUBE.683
142;19;14;TUBE.684
143;19;12;TUBE.685
144;19;10;TUBE.686
145;19;8;TUBE.687
146;19;6;TUBE.688
147;19;4;TUBE.689
148;18;19;TUBE.690
149;18;17;TUBE.691
150;18;15;TUBE.692
151;18;13;TUBE.693
152;18;11;TUBE.694
153;18;9;TUBE.695
154;18;7;TUBE.696
155;18;5;TUBE.697
156;18;3;TUBE.698
157;17;18;TUBE.699
158;17;16;TUBE.700
159;17;14;TUBE.701
160;17;12;TUBE.702
161;17;10;TUBE.703
162;17;8;TUBE.704
163;17;6;TUBE.705
164;17;4;TUBE.706
165;16;19;TUBE.707
166;16;17;TUBE.708
167;16;15;TUBE.709
168;16;13;TUBE.710
169;16;11;TUBE.711
170;16;9;TUBE.712
171;16;7;TUBE.713
172;16;5;TUBE.714
173;15;18;TUBE.715
174;15;16;TUBE.716
175;15;14;TUBE.717
176;15;12;TUBE.718
177;15;10;TUBE.719
178;15;8;TUBE.720
179;15;6;TUBE.721
180;14;19;TUBE.722
181;14;17;TUBE.723
182;14;15;TUBE.724
183;14;13;TUBE.725
184;14;11;TUBE.726
185;14;9;TUBE.727
186;14;7;TUBE.728
187;14;5;TUBE.729
188;13;18;TUBE.730
189;13;16;TUBE.731
190;13;14;TUBE.732
191;13;12;TUBE.733
192;13;10;TUBE.734
193;13;8;TUBE.735
194;13;6;TUBE.736
195;12;19;TUBE.737
196;12;17;TUBE.738
197;12;15;TUBE.739
198;12;13;TUBE.740
199;12;11;TUBE.741
200;12;9;TUBE.742
201;12;7;TUBE.743
202;11;18;TUBE.744
203;11;16;TUBE.745
204;11;14;TUBE.746
205;11;12;TUBE.747
206;11;10;TUBE.748
207;11;8;TUBE.749
208;10;19;TUBE.750
209;10;17;TUBE.751
210;10;15;TUBE.752
211;10;13;TUBE.753
212;10;11;TUBE.754
213;10;9;TUBE.755
214;10;7;TUBE.756
215;9;18;TUBE.757
216;9;16;TUBE.758
217;9;14;TUBE.759
218;9;12;TUBE.760
219;9;10;TUBE.761
220;9;8;TUBE.762
221;8;19;TUBE.763
222;8;17;TUBE.764
223;8;15;TUBE.765
224;8;13;TUBE.766
225;8;11;TUBE.767
226;8;9;TUBE.768
