x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
20;35;0;0;;;TUBE.1
22;35;28,58;0;;;TUBE.2
24;35;57,16;0;;;TUBE.3
26;35;85,7399999999999;0;;;TUBE.4
28;35;114,32;0;;;TUBE.5
30;35;142,9;0;;;TUBE.6
32;35;171,48;0;;;TUBE.7
34;35;200,06;0;;;TUBE.8
36;35;228,64;0;;;TUBE.9
38;35;257,22;0;;;TUBE.10
21;36;14,29;8,25;;;TUBE.11
23;36;42,87;8,25;;;TUBE.12
25;36;71,4499999999999;8,25;;;TUBE.13
27;36;100,03;8,25;;;TUBE.14
29;36;128,61;8,25;;;TUBE.15
31;36;157,19;8,25;;;TUBE.16
33;36;185,77;8,25;;;TUBE.17
35;36;214,35;8,25;;;TUBE.18
37;36;242,93;8,25;;;TUBE.19
39;36;271,510000000001;8,25;;;TUBE.20
20;37;0;16,5;;;TUBE.21
22;37;28,58;16,5;;;TUBE.22
24;37;57,16;16,5;;;TUBE.23
26;37;85,7399999999999;16,5;;;TUBE.24
28;37;114,32;16,5;;;TUBE.25
30;37;142,9;16,5;;;TUBE.26
32;37;171,48;16,5;;;TUBE.27
34;37;200,06;16,5;;;TUBE.28
36;37;228,64;16,5;;;TUBE.29
38;37;257,22;16,5;;;TUBE.30
21;38;14,29;24,75;;;TUBE.31
23;38;42,87;24,75;;;TUBE.32
25;38;71,4499999999999;24,75;;;TUBE.33
27;38;100,03;24,75;;;TUBE.34
29;38;128,61;24,75;;;TUBE.35
31;38;157,19;24,75;;;TUBE.36
33;38;185,77;24,75;;;TUBE.37
35;38;214,35;24,75;;;TUBE.38
37;38;242,93;24,75;;;TUBE.39
39;38;271,510000000001;24,75;;;TUBE.40
20;39;0;33,0000000000001;;;TUBE.41
22;39;28,58;33,0000000000001;;;TUBE.42
24;39;57,16;33,0000000000001;;;TUBE.43
26;39;85,7399999999999;33,0000000000001;;;TUBE.44
28;39;114,32;33,0000000000001;;;TUBE.45
30;39;142,9;33,0000000000001;;;TUBE.46
32;39;171,48;33,0000000000001;;;TUBE.47
34;39;200,06;33,0000000000001;;;TUBE.48
36;39;228,64;33,0000000000001;;;TUBE.49
38;39;257,22;33,0000000000001;;;TUBE.50
21;40;14,29;41,2500000000001;;;TUBE.51
