SEQ;ROW;COL;TUBE
1;2;1;TUBE.1
2;4;1;TUBE.2
3;6;1;TUBE.3
4;8;1;TUBE.4
5;10;1;TUBE.5
6;12;1;TUBE.6
7;14;1;TUBE.7
8;16;1;TUBE.8
9;18;1;TUBE.9
10;20;1;TUBE.10
11;22;1;TUBE.11
12;24;1;TUBE.12
13;26;1;TUBE.13
14;28;1;TUBE.14
15;30;1;TUBE.15
16;32;1;TUBE.16
17;34;1;TUBE.17
18;36;1;TUBE.18
19;38;1;TUBE.19
20;40;1;TUBE.20
21;42;1;TUBE.21
22;44;1;TUBE.22
23;46;1;TUBE.23
24;45;2;TUBE.109
25;46;3;TUBE.197
26;45;4;TUBE.282
27;44;5;TUBE.368
28;45;6;TUBE.454
29;46;7;TUBE.540
30;45;8;TUBE.623
31;47;10;TUBE.789
32;50;11;TUBE.872
33;51;12;TUBE.953
34;54;13;TUBE.1036
35;56;13;TUBE.1037
36;57;14;TUBE.1117
37;59;14;TUBE.1118
38;61;14;TUBE.1119
39;63;14;TUBE.1120
