x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
2;1;71,938;0,704;0,812;0,704;TUBE.1
4;1;71,125;0,704;1,625;0,704;TUBE.2
6;1;70,312;0,704;2,438;0,704;TUBE.3
8;1;69,5;0,704;3,25;0,704;TUBE.4
10;1;68,688;0,704;4,062;0,704;TUBE.5
12;1;67,875;0,704;4,875;0,704;TUBE.6
14;1;67,062;0,704;5,688;0,704;TUBE.7
16;1;66,25;0,704;6,5;0,704;TUBE.8
18;1;65,438;0,704;7,312;0,704;TUBE.9
20;1;64,625;0,704;8,125;0,704;TUBE.10
22;1;63,812;0,704;8,938;0,704;TUBE.11
24;1;63;0,704;9,75;0,704;TUBE.12
26;1;62,188;0,704;10,562;0,704;TUBE.13
28;1;61,375;0,704;11,375;0,704;TUBE.14
30;1;60,562;0,704;12,188;0,704;TUBE.15
32;1;59,75;0,704;13;0,704;TUBE.16
34;1;58,938;0,704;13,812;0,704;TUBE.17
36;1;58,125;0,704;14,625;0,704;TUBE.18
38;1;57,312;0,704;15,438;0,704;TUBE.19
40;1;56,5;0,704;16,25;0,704;TUBE.20
42;1;55,688;0,704;17,062;0,704;TUBE.21
44;1;54,875;0,704;17,875;0,704;TUBE.22
46;1;54,062;0,704;18,688;0,704;TUBE.23
48;1;53,25;0,704;19,5;0,704;TUBE.24
50;1;52,438;0,704;20,312;0,704;TUBE.25
52;1;51,625;0,704;21,125;0,704;TUBE.26
54;1;50,812;0,704;21,938;0,704;TUBE.27
56;1;50;0,704;22,75;0,704;TUBE.28
58;1;49,188;0,704;23,562;0,704;TUBE.29
60;1;48,375;0,704;24,375;0,704;TUBE.30
62;1;47,562;0,704;25,188;0,704;TUBE.31
64;1;46,75;0,704;26;0,704;TUBE.32
66;1;45,938;0,704;26,812;0,704;TUBE.33
68;1;45,125;0,704;27,625;0,704;TUBE.34
70;1;44,312;0,704;28,438;0,704;TUBE.35
72;1;43,5;0,704;29,25;0,704;TUBE.36
74;1;42,688;0,704;30,062;0,704;TUBE.37
76;1;41,875;0,704;30,875;0,704;TUBE.38
78;1;41,062;0,704;31,688;0,704;TUBE.39
80;1;40,25;0,704;32,5;0,704;TUBE.40
82;1;39,438;0,704;33,312;0,704;TUBE.41
84;1;38,625;0,704;34,125;0,704;TUBE.42
86;1;37,812;0,704;34,938;0,704;TUBE.43
90;1;34,938;0,704;37,812;0,704;TUBE.44
92;1;34,125;0,704;38,625;0,704;TUBE.45
94;1;33,312;0,704;39,438;0,704;TUBE.46
96;1;32,5;0,704;40,25;0,704;TUBE.47
98;1;31,688;0,704;41,062;0,704;TUBE.48
100;1;30,875;0,704;41,875;0,704;TUBE.49
102;1;30,062;0,704;42,688;0,704;TUBE.50
104;1;29,25;0,704;43,5;0,704;TUBE.51
106;1;28,438;0,704;44,312;0,704;TUBE.52
108;1;27,625;0,704;45,125;0,704;TUBE.53
110;1;26,812;0,704;45,938;0,704;TUBE.54
112;1;26;0,704;46,75;0,704;TUBE.55
114;1;25,188;0,704;47,562;0,704;TUBE.56
116;1;24,375;0,704;48,375;0,704;TUBE.57
118;1;23,562;0,704;49,188;0,704;TUBE.58
120;1;22,75;0,704;50;0,704;TUBE.59
122;1;21,938;0,704;50,812;0,704;TUBE.60
124;1;21,125;0,704;51,625;0,704;TUBE.61
126;1;20,312;0,704;52,438;0,704;TUBE.62
128;1;19,5;0,704;53,25;0,704;TUBE.63
130;1;18,688;0,704;54,062;0,704;TUBE.64
132;1;17,875;0,704;54,875;0,704;TUBE.65
134;1;17,062;0,704;55,688;0,704;TUBE.66
136;1;16,25;0,704;56,5;0,704;TUBE.67
138;1;15,438;0,704;57,312;0,704;TUBE.68
140;1;14,625;0,704;58,125;0,704;TUBE.69
142;1;13,812;0,704;58,938;0,704;TUBE.70
144;1;13;0,704;59,75;0,704;TUBE.71
146;1;12,188;0,704;60,562;0,704;TUBE.72
148;1;11,375;0,704;61,375;0,704;TUBE.73
150;1;10,562;0,704;62,188;0,704;TUBE.74
152;1;9,75;0,704;63;0,704;TUBE.75
154;1;8,938;0,704;63,812;0,704;TUBE.76
156;1;8,125;0,704;64,625;0,704;TUBE.77
158;1;7,312;0,704;65,438;0,704;TUBE.78
160;1;6,5;0,704;66,25;0,704;TUBE.79
162;1;5,688;0,704;67,062;0,704;TUBE.80
164;1;4,875;0,704;67,875;0,704;TUBE.81
166;1;4,062;0,704;68,688;0,704;TUBE.82
168;1;3,25;0,704;69,5;0,704;TUBE.83
170;1;2,438;0,704;70,312;0,704;TUBE.84
172;1;1,625;0,704;71,125;0,704;TUBE.85
174;1;0,812;0,704;71,938;0,704;TUBE.86
1;2;72,344;1,407;0,406;1,407;TUBE.87
3;2;71,531;1,407;1,219;1,407;TUBE.88
5;2;70,719;1,407;2,031;1,407;TUBE.89
7;2;69,906;1,407;2,844;1,407;TUBE.90
9;2;69,094;1,407;3,656;1,407;TUBE.91
11;2;68,281;1,407;4,469;1,407;TUBE.92
13;2;67,469;1,407;5,281;1,407;TUBE.93
15;2;66,656;1,407;6,094;1,407;TUBE.94
17;2;65,844;1,407;6,906;1,407;TUBE.95
19;2;65,031;1,407;7,719;1,407;TUBE.96
21;2;64,219;1,407;8,531;1,407;TUBE.97
23;2;63,406;1,407;9,344;1,407;TUBE.98
25;2;62,594;1,407;10,156;1,407;TUBE.99
27;2;61,781;1,407;10,969;1,407;TUBE.100
29;2;60,969;1,407;11,781;1,407;TUBE.101
31;2;60,156;1,407;12,594;1,407;TUBE.102
33;2;59,344;1,407;13,406;1,407;TUBE.103
35;2;58,531;1,407;14,219;1,407;TUBE.104
37;2;57,719;1,407;15,031;1,407;TUBE.105
39;2;56,906;1,407;15,844;1,407;TUBE.106
41;2;56,094;1,407;16,656;1,407;TUBE.107
43;2;55,281;1,407;17,469;1,407;TUBE.108
45;2;54,469;1,407;18,281;1,407;TUBE.109
47;2;53,656;1,407;19,094;1,407;TUBE.110
49;2;52,844;1,407;19,906;1,407;TUBE.111
51;2;52,031;1,407;20,719;1,407;TUBE.112
53;2;51,219;1,407;21,531;1,407;TUBE.113
55;2;50,406;1,407;22,344;1,407;TUBE.114
57;2;49,594;1,407;23,156;1,407;TUBE.115
59;2;48,781;1,407;23,969;1,407;TUBE.116
61;2;47,969;1,407;24,781;1,407;TUBE.117
63;2;47,156;1,407;25,594;1,407;TUBE.118
65;2;46,344;1,407;26,406;1,407;TUBE.119
67;2;45,531;1,407;27,219;1,407;TUBE.120
69;2;44,719;1,407;28,031;1,407;TUBE.121
71;2;43,906;1,407;28,844;1,407;TUBE.122
73;2;43,094;1,407;29,656;1,407;TUBE.123
75;2;42,281;1,407;30,469;1,407;TUBE.124
77;2;41,469;1,407;31,281;1,407;TUBE.125
79;2;40,656;1,407;32,094;1,407;TUBE.126
81;2;39,844;1,407;32,906;1,407;TUBE.127
83;2;39,031;1,407;33,719;1,407;TUBE.128
85;2;38,219;1,407;34,531;1,407;TUBE.129
87;2;37,406;1,407;35,344;1,407;TUBE.130
89;2;35,344;1,407;37,406;1,407;TUBE.131
91;2;34,531;1,407;38,219;1,407;TUBE.132
93;2;33,719;1,407;39,031;1,407;TUBE.133
95;2;32,906;1,407;39,844;1,407;TUBE.134
97;2;32,094;1,407;40,656;1,407;TUBE.135
99;2;31,281;1,407;41,469;1,407;TUBE.136
101;2;30,469;1,407;42,281;1,407;TUBE.137
103;2;29,656;1,407;43,094;1,407;TUBE.138
105;2;28,844;1,407;43,906;1,407;TUBE.139
107;2;28,031;1,407;44,719;1,407;TUBE.140
109;2;27,219;1,407;45,531;1,407;TUBE.141
111;2;26,406;1,407;46,344;1,407;TUBE.142
113;2;25,594;1,407;47,156;1,407;TUBE.143
115;2;24,781;1,407;47,969;1,407;TUBE.144
117;2;23,969;1,407;48,781;1,407;TUBE.145
119;2;23,156;1,407;49,594;1,407;TUBE.146
121;2;22,344;1,407;50,406;1,407;TUBE.147
123;2;21,531;1,407;51,219;1,407;TUBE.148
125;2;20,719;1,407;52,031;1,407;TUBE.149
