SEQ;ROW;COL;TUBE
1;K;24;TUBE.188
2;K;26;TUBE.189
3;K;28;TUBE.190
4;K;30;TUBE.191
5;K;32;TUBE.192
6;K;34;TUBE.193
7;K;36;TUBE.194
8;K;37;TUBE.287
9;K;39;TUBE.288
10;K;41;TUBE.289
11;J;40;TUBE.280
12;J;38;TUBE.279
13;J;35;TUBE.185
14;J;33;TUBE.184
15;J;31;TUBE.183
16;J;29;TUBE.182
17;J;27;TUBE.181
18;J;25;TUBE.180
19;I;24;TUBE.171
20;I;26;TUBE.172
21;I;28;TUBE.173
22;I;30;TUBE.174
23;I;32;TUBE.175
24;I;34;TUBE.176
25;I;36;TUBE.177
26;I;37;TUBE.270
27;I;39;TUBE.271
28;I;41;TUBE.272
29;H;40;TUBE.262
30;H;38;TUBE.261
31;H;35;TUBE.168
32;H;33;TUBE.167
33;H;31;TUBE.166
34;H;29;TUBE.165
35;H;27;TUBE.164
36;H;25;TUBE.163
37;G;24;TUBE.154
38;G;26;TUBE.155
39;G;28;TUBE.156
40;G;30;TUBE.157
41;G;32;TUBE.158
42;G;34;TUBE.159
43;G;36;TUBE.160
44;G;37;TUBE.252
45;G;39;TUBE.253
46;G;41;TUBE.254
47;F;40;TUBE.244
48;F;38;TUBE.243
49;F;35;TUBE.151
50;F;33;TUBE.150
51;F;31;TUBE.149
52;F;29;TUBE.148
53;F;27;TUBE.147
54;F;25;TUBE.146
55;E;24;TUBE.137
56;E;26;TUBE.138
57;E;28;TUBE.139
58;E;30;TUBE.140
59;E;32;TUBE.141
60;E;34;TUBE.142
61;E;36;TUBE.143
62;E;37;TUBE.233
63;E;39;TUBE.234
64;E;41;TUBE.235
65;D;40;TUBE.225
66;D;38;TUBE.224
67;D;35;TUBE.134
68;D;33;TUBE.133
69;D;31;TUBE.132
70;D;29;TUBE.131
71;D;27;TUBE.130
72;D;25;TUBE.129
73;C;24;TUBE.120
74;C;26;TUBE.121
75;C;28;TUBE.122
76;C;30;TUBE.123
77;C;32;TUBE.124
78;C;34;TUBE.125
79;C;36;TUBE.126
80;C;37;TUBE.214
81;C;39;TUBE.215
82;C;41;TUBE.216
83;B;40;TUBE.206
84;B;38;TUBE.205
85;B;35;TUBE.117
86;B;33;TUBE.116
87;B;31;TUBE.115
88;B;29;TUBE.114
89;B;27;TUBE.113
90;B;25;TUBE.112
91;A;24;TUBE.103
92;A;26;TUBE.104
93;A;28;TUBE.105
94;A;30;TUBE.106
95;A;32;TUBE.107
96;A;34;TUBE.108
97;A;36;TUBE.109
98;A;37;TUBE.195
99;A;39;TUBE.196
100;A;41;TUBE.197
101;I;3;TUBE.76
102;H;2;TUBE.67
103;G;3;TUBE.58
104;F;2;TUBE.49
105;E;1;TUBE.39
106;E;3;TUBE.40
107;D;2;TUBE.30
108;C;1;TUBE.20
109;C;3;TUBE.21
110;B;2;TUBE.11
111;A;3;TUBE.3
112;A;1;TUBE.1
