SEQ;ROW;COL;TUBE
1;K;5;TUBE.93
2;K;7;TUBE.94
3;K;9;TUBE.95
4;K;11;TUBE.96
5;K;13;TUBE.97
6;K;15;TUBE.98
7;K;17;TUBE.99
8;K;19;TUBE.100
9;K;20;TUBE.186
10;K;22;TUBE.187
11;J;23;TUBE.179
12;J;21;TUBE.178
13;J;18;TUBE.92
14;J;16;TUBE.91
15;J;14;TUBE.90
16;J;12;TUBE.89
17;J;10;TUBE.88
18;J;8;TUBE.87
19;J;6;TUBE.86
20;J;4;TUBE.85
21;I;5;TUBE.77
22;I;7;TUBE.78
23;I;9;TUBE.79
24;I;11;TUBE.80
25;I;13;TUBE.81
26;I;15;TUBE.82
27;I;17;TUBE.83
28;I;19;TUBE.84
29;I;20;TUBE.169
30;I;22;TUBE.170
31;H;23;TUBE.162
32;H;21;TUBE.161
33;H;18;TUBE.75
34;H;16;TUBE.74
35;H;14;TUBE.73
36;H;12;TUBE.72
37;H;10;TUBE.71
38;H;8;TUBE.70
39;H;6;TUBE.69
40;H;4;TUBE.68
41;G;5;TUBE.59
42;G;7;TUBE.60
43;G;9;TUBE.61
44;G;11;TUBE.62
45;G;13;TUBE.63
46;G;15;TUBE.64
47;G;17;TUBE.65
48;G;19;TUBE.66
49;G;20;TUBE.152
50;G;22;TUBE.153
51;F;23;TUBE.145
52;F;21;TUBE.144
53;F;18;TUBE.57
54;F;16;TUBE.56
55;F;14;TUBE.55
56;F;12;TUBE.54
57;F;10;TUBE.53
58;F;8;TUBE.52
59;F;6;TUBE.51
60;F;4;TUBE.50
61;E;5;TUBE.41
62;E;7;TUBE.42
63;E;9;TUBE.43
64;E;11;TUBE.44
65;E;13;TUBE.45
66;E;15;TUBE.46
67;E;17;TUBE.47
68;E;19;TUBE.48
69;E;20;TUBE.135
70;E;22;TUBE.136
71;D;23;TUBE.128
72;D;21;TUBE.127
73;D;18;TUBE.38
74;D;16;TUBE.37
75;D;14;TUBE.36
76;D;12;TUBE.35
77;D;10;TUBE.34
78;D;8;TUBE.33
79;D;6;TUBE.32
80;D;4;TUBE.31
81;C;5;TUBE.22
82;C;7;TUBE.23
83;C;9;TUBE.24
84;C;11;TUBE.25
85;C;13;TUBE.26
86;C;15;TUBE.27
87;C;17;TUBE.28
88;C;19;TUBE.29
89;C;20;TUBE.118
90;C;22;TUBE.119
91;B;23;TUBE.111
92;B;21;TUBE.110
93;B;18;TUBE.19
94;B;16;TUBE.18
95;B;14;TUBE.17
96;B;12;TUBE.16
97;B;10;TUBE.15
98;B;8;TUBE.14
99;B;6;TUBE.13
100;B;4;TUBE.12
101;A;5;TUBE.3
102;A;7;TUBE.4
103;A;9;TUBE.5
104;A;11;TUBE.6
105;A;13;TUBE.7
106;A;15;TUBE.8
107;A;17;TUBE.9
108;A;19;TUBE.10
109;A;20;TUBE.101
110;A;22;TUBE.102
111;K;43;TUBE.290
112;K;45;TUBE.291
113;K;47;TUBE.292
114;K;49;TUBE.293
115;K;51;TUBE.294
116;J;52;TUBE.286
117;J;50;TUBE.285
118;J;48;TUBE.284
119;J;46;TUBE.283
120;J;44;TUBE.282
121;J;42;TUBE.281
122;I;43;TUBE.273
123;I;45;TUBE.274
124;I;47;TUBE.275
125;I;49;TUBE.276
126;I;51;TUBE.277
127;I;53;TUBE.278
128;H;54;TUBE.269
129;H;52;TUBE.268
130;H;50;TUBE.267
131;H;48;TUBE.266
132;H;46;TUBE.265
133;H;44;TUBE.264
134;H;42;TUBE.263
135;G;43;TUBE.255
136;G;45;TUBE.256
137;G;47;TUBE.257
138;G;49;TUBE.258
139;G;51;TUBE.259
140;G;53;TUBE.260
141;F;54;TUBE.251
142;F;52;TUBE.250
143;F;50;TUBE.249
144;F;48;TUBE.248
145;F;46;TUBE.247
146;F;44;TUBE.246
147;F;42;TUBE.245
148;E;43;TUBE.236
149;E;45;TUBE.237
150;E;47;TUBE.238
151;E;49;TUBE.239
152;E;51;TUBE.240
153;E;53;TUBE.241
154;E;55;TUBE.242
155;D;54;TUBE.232
156;D;52;TUBE.231
157;D;50;TUBE.230
158;D;48;TUBE.229
159;D;46;TUBE.228
160;D;44;TUBE.227
161;D;42;TUBE.226
162;C;43;TUBE.217
163;C;45;TUBE.218
164;C;47;TUBE.219
165;C;49;TUBE.220
166;C;51;TUBE.221
167;C;53;TUBE.222
168;C;55;TUBE.223
169;B;54;TUBE.213
170;B;52;TUBE.212
171;B;50;TUBE.211
172;B;48;TUBE.210
173;B;46;TUBE.209
174;B;44;TUBE.208
175;B;42;TUBE.207
176;A;43;TUBE.198
177;A;45;TUBE.199
178;A;47;TUBE.200
179;A;49;TUBE.201
180;A;51;TUBE.202
181;A;53;TUBE.203
182;A;55;TUBE.204
