x_label;y_label;hl_x;hl_y;cl_x;cl_y;tube_id
1;A;0;4,5;0;-4,5;TUBE.1
3;A;1,3258;4,5;1,3258;-4,5;TUBE.2
5;A;2,6516;4,5;2,6516;-4,5;TUBE.3
7;A;3,9774;4,5;3,9774;-4,5;TUBE.4
9;A;5,3032;4,5;5,3032;-4,5;TUBE.5
11;A;6629;4,5;6629;-4,5;TUBE.6
13;A;7,9548;4,5;7,9548;-4,5;TUBE.7
15;A;9,2806;4,5;9,2806;-4,5;TUBE.8
17;A;10,6064;4,5;10,6064;-4,5;TUBE.9
19;A;11,9322;4,5;11,9322;-4,5;TUBE.10
2;B;0,6629;5,1629;0,6629;-5,1629;TUBE.11
4;B;1,9887;5,1629;1,9887;-5,1629;TUBE.12
6;B;3,3145;5,1629;3,3145;-5,1629;TUBE.13
8;B;4,6403;5,1629;4,6403;-5,1629;TUBE.14
10;B;5,9661;5,1629;5,9661;-5,1629;TUBE.15
12;B;7,2919;5,1629;7,2919;-5,1629;TUBE.16
14;B;8,6177;5,1629;8,6177;-5,1629;TUBE.17
16;B;9,9435;5,1629;9,9435;-5,1629;TUBE.18
18;B;11,2693;5,1629;11,2693;-5,1629;TUBE.19
1;C;0;5,8258;0;-5,8258;TUBE.20
3;C;1,3258;5,8258;1,3258;-5,8258;TUBE.21
5;C;2,6516;5,8258;2,6516;-5,8258;TUBE.22
7;C;3,9774;5,8258;3,9774;-5,8258;TUBE.23
9;C;5,3032;5,8258;5,3032;-5,8258;TUBE.24
11;C;6629;5,8258;6629;-5,8258;TUBE.25
13;C;7,9548;5,8258;7,9548;-5,8258;TUBE.26
15;C;9,2806;5,8258;9,2806;-5,8258;TUBE.27
17;C;10,6064;5,8258;10,6064;-5,8258;TUBE.28
19;C;11,9322;5,8258;11,9322;-5,8258;TUBE.29
2;D;0,6629;6,4887;0,6629;-6,4887;TUBE.30
4;D;1,9887;6,4887;1,9887;-6,4887;TUBE.31
6;D;3,3145;6,4887;3,3145;-6,4887;TUBE.32
8;D;4,6403;6,4887;4,6403;-6,4887;TUBE.33
10;D;5,9661;6,4887;5,9661;-6,4887;TUBE.34
12;D;7,2919;6,4887;7,2919;-6,4887;TUBE.35
14;D;8,6177;6,4887;8,6177;-6,4887;TUBE.36
16;D;9,9435;6,4887;9,9435;-6,4887;TUBE.37
18;D;11,2693;6,4887;11,2693;-6,4887;TUBE.38
1;E;0;7,1516;0;-7,1516;TUBE.39
3;E;1,3258;7,1516;1,3258;-7,1516;TUBE.40
5;E;2,6516;7,1516;2,6516;-7,1516;TUBE.41
7;E;3,9774;7,1516;3,9774;-7,1516;TUBE.42
9;E;5,3032;7,1516;5,3032;-7,1516;TUBE.43
11;E;6629;7,1516;6629;-7,1516;TUBE.44
13;E;7,9548;7,1516;7,9548;-7,1516;TUBE.45
15;E;9,2806;7,1516;9,2806;-7,1516;TUBE.46
17;E;10,6064;7,1516;10,6064;-7,1516;TUBE.47
19;E;11,9322;7,1516;11,9322;-7,1516;TUBE.48
2;F;0,6629;7,8145;0,6629;-7,8145;TUBE.49
4;F;1,9887;7,8145;1,9887;-7,8145;TUBE.50
6;F;3,3145;7,8145;3,3145;-7,8145;TUBE.51
8;F;4,6403;7,8145;4,6403;-7,8145;TUBE.52
10;F;5,9661;7,8145;5,9661;-7,8145;TUBE.53
12;F;7,2919;7,8145;7,2919;-7,8145;TUBE.54
14;F;8,6177;7,8145;8,6177;-7,8145;TUBE.55
16;F;9,9435;7,8145;9,9435;-7,8145;TUBE.56
18;F;11,2693;7,8145;11,2693;-7,8145;TUBE.57
3;G;1,3258;8,4774;1,3258;-8,4774;TUBE.58
5;G;2,6516;8,4774;2,6516;-8,4774;TUBE.59
7;G;3,9774;8,4774;3,9774;-8,4774;TUBE.60
9;G;5,3032;8,4774;5,3032;-8,4774;TUBE.61
11;G;6629;8,4774;6629;-8,4774;TUBE.62
13;G;7,9548;8,4774;7,9548;-8,4774;TUBE.63
15;G;9,2806;8,4774;9,2806;-8,4774;TUBE.64
17;G;10,6064;8,4774;10,6064;-8,4774;TUBE.65
19;G;11,9322;8,4774;11,9322;-8,4774;TUBE.66
2;H;0,6629;9,1403;0,6629;-9,1403;TUBE.67
4;H;1,9887;9,1403;1,9887;-9,1403;TUBE.68
6;H;3,3145;9,1403;3,3145;-9,1403;TUBE.69
8;H;4,6403;9,1403;4,6403;-9,1403;TUBE.70
10;H;5,9661;9,1403;5,9661;-9,1403;TUBE.71
12;H;7,2919;9,1403;7,2919;-9,1403;TUBE.72
14;H;8,6177;9,1403;8,6177;-9,1403;TUBE.73
16;H;9,9435;9,1403;9,9435;-9,1403;TUBE.74
18;H;11,2693;9,1403;11,2693;-9,1403;TUBE.75
3;I;1,3258;9,8032;1,3258;-9,8032;TUBE.76
5;I;2,6516;9,8032;2,6516;-9,8032;TUBE.77
7;I;3,9774;9,8032;3,9774;-9,8032;TUBE.78
9;I;5,3032;9,8032;5,3032;-9,8032;TUBE.79
11;I;6629;9,8032;6629;-9,8032;TUBE.80
13;I;7,9548;9,8032;7,9548;-9,8032;TUBE.81
15;I;9,2806;9,8032;9,2806;-9,8032;TUBE.82
17;I;10,6064;9,8032;10,6064;-9,8032;TUBE.83
19;I;11,9322;9,8032;11,9322;-9,8032;TUBE.84
4;J;1,9887;10,4661;1,9887;-10,4661;TUBE.85
6;J;3,3145;10,4661;3,3145;-10,4661;TUBE.86
8;J;4,6403;10,4661;4,6403;-10,4661;TUBE.87
10;J;5,9661;10,4661;5,9661;-10,4661;TUBE.88
12;J;7,2919;10,4661;7,2919;-10,4661;TUBE.89
14;J;8,6177;10,4661;8,6177;-10,4661;TUBE.90
16;J;9,9435;10,4661;9,9435;-10,4661;TUBE.91
18;J;11,2693;10,4661;11,2693;-10,4661;TUBE.92
5;K;2,6516;6633,5;2,6516;-6633,5;TUBE.93
7;K;3,9774;6633,5;3,9774;-6633,5;TUBE.94
9;K;5,3032;6633,5;5,3032;-6633,5;TUBE.95
11;K;6629;6633,5;6629;-6633,5;TUBE.96
13;K;7,9548;6633,5;7,9548;-6633,5;TUBE.97
15;K;9,2806;6633,5;9,2806;-6633,5;TUBE.98
17;K;10,6064;6633,5;10,6064;-6633,5;TUBE.99
19;K;11,9322;6633,5;11,9322;-6633,5;TUBE.100
20;A;13258;4,5;13258;-4,5;TUBE.101
22;A;14,5838;4,5;14,5838;-4,5;TUBE.102
24;A;15,9096;4,5;15,9096;-4,5;TUBE.103
26;A;17,2354;4,5;17,2354;-4,5;TUBE.104
28;A;18,5612;4,5;18,5612;-4,5;TUBE.105
30;A;19887;4,5;19887;-4,5;TUBE.106
32;A;21,2128;4,5;21,2128;-4,5;TUBE.107
34;A;22,5386;4,5;22,5386;-4,5;TUBE.108
36;A;23,8644;4,5;23,8644;-4,5;TUBE.109
21;B;13,9209;5,1629;13,9209;-5,1629;TUBE.110
